TEAM,FUERZA
Minnesota,-2.2212471229577337
Sacramento,-4.149086302695984
Chicago,2.724139448022098
Denver,-0.3903590697301311
New Orleans,0.92607287924226
Houston,-6.066204150021751
Utah,5.435820007443825
Atlanta,-2.635734569468593
Phoenix,2.228563550614693
Philadelphia,1.3057843762900903
Milwaukee,4.322559285677039
Indiana,-1.6016269688146805
L.A. Lakers,1.2984324757252397
Memphis,4.199387652280658
Oklahoma City,-1.297768056847576
Washington,-1.6786166509189964
Boston,0.886087911493576
Dallas,2.7588602011722636
Orlando,-5.307761389239547
Brooklyn,1.6314621738474977
Charlotte,0.9331605188647429
Cleveland,3.315563484022244
Golden State,2.2927559175040098
Toronto,-1.3532364342480447
New York,0.10956737382791693
Detroit,-6.15899840477867
Portland,-7.09439906134205
San Antonio,2.7144673401713155
L.A. Clippers,-2.2005656912977747
Miami,3.618232816368932
